salary,job_info,enterprise_attr,job_tags,job_url,enterprise_industry,enterprise_scale,job_enterprise,download_timeout,depth,job_attr,exp,edu,date,download_latency,job_place,job_name,download_slot
4001-6000,"
                    职位描述：1、建立并负责多平台的数据统计分析机制，形成工作流程与制度；2、完善数据统计分析报表，日常运营数据的统计与汇报，数据异常报警与反馈；3、日常数据分析，从数据角度挖掘产品、运营、业务制度与执行中的问题，牵头解决产品、运营相关问题；4、提供行业和竞品有参考价值的数据；5、数据的加工提炼，呈现简单、直观、凝练的数据图表，用数据表达关键信息。岗位要求：1、1年以上数据统计与分析工作经验，优秀应届生也可； 2、热爱数据，对数据敏感，逻辑能力强，对数据体系和信息结构有较深的认识；3、精通统计学、数据挖掘等基础知识，熟悉采集、整理、分析、建模等环节的工作，4、精通excel数据分析功能，对原始数据的灵活提炼能力；5、朝九晚五，提供工作餐，做五休二。 
                ",其他,五险一金|餐饮补贴|节日福利,http://www.chinahr.com/job/5366523124154626.html?searchplace=400,消费品 ,101－300人,上海百居良品百货有限公司,180.0,1,全职,经验1年,大专,12-8更新,0.22023987770080566,上海,数据分析员,www.chinahr.com
7000-10000,"
                    岗位职责： 1、独立撰写调研报告、征信报告； 2、参与实地调研，撰写分析报告； 3、数据整理、数据分析； 4、完成领导交办的其他工作。  任职要求： 1、两年以上工作经验，财务及相关专业，本科及以上学历； 2、具有征信行业或实地调研工作经验者优先； 3、良好的沟通、写作能力； 4、能够承受较强的工作压力； 5、工作勤奋努力，踏实肯干，具有团队精神和敬业精神。  中诚信征信有限公司（简称“中诚信征信”）隶属于中国诚信集团。在企业征信、个人征信、信用风险管理、商业信息服务、市场调研咨询等领域，拥有10多年的丰富经验公司始终坚守中立、客观、公正的理念，秉持专业、诚信、严谨的操守，做市场认可的独立第三方征信机构。 中诚信征信于 2014 年 6 月获得全国首批企业征信业务经营备案，并于 2015 年 1 月成为首批获准开展个人征信业务准备工作的独立第三方征信机构。 作为第一批由央行批准开展个人征信准备工作的8家机构之一，我们在商业利益驱动以外，希望能通过市场化行为和生活化应用让更多的人更好的了解个人信用价值，促进我国社会化信用体系建设良性发展。  我们不仅为员工提供优厚的福利保障，还致力于打造轻松、愉快的团队环境： ——按国家标准缴纳社保、公积金； ——年底双薪； ——扁平化管理，平易近人的领导团队； ——丰富的内、外部培训分享平台； ——各类丰富有趣的团建活动； ——弹性的工作时间； ——免费的优质午餐、可口的下午茶； ——位于东二环环境优美的独立四合院，紧邻地铁5、6号线东四站。  北京市东城区东四南大街礼士胡同54号 
                ",其他,五险一金|绩效奖金|餐饮补贴|带薪年假|定期体检|员工旅游,http://www.chinahr.com/job/5367023451933701.html?searchplace=400,IT/互联网 ,101－300人,中诚信征信有限公司,180.0,1,全职,经验1年,本科,12-8更新,0.21427702903747559,上海,调研分析师,www.chinahr.com
5500-11000,"
                    岗位职责： 1、负责开发基于Android平台的手机软件2、负责对Android手机软件进行开发、升级、维护和优化；3、编写和维护相关开发文档； 4、参与产品的系统分析，架构设计，模块编码；5、负责产品架构的改进及性能优化 ； 任职要求:1、3年以上的Android平台移动应用开发经验；2、对android系统有全面的了解，能根据产品设计独立进行应用程序开发, 对代码质量和编程规范有较高追求； 3、熟练进行各种UI开发,熟悉各种流行的UI控件库,熟悉常见的UI交互流程的实现 4、对 Android 系统应用管理、进程管理、内存管理机制有深入理解5、熟悉Android下网络通信机制，对Socket通信TCP有深刻的理解； 6、熟悉Android SDK，能够独立分析和定位与Android framework或应用相关的问题； 7、熟悉 Android 应用打包、签名、验证和安装机制。 8、学习能力强，适应能力好；逻辑思维清晰，有良好的团队合作精神。
                ",其他,五险一金|绩效奖金|弹性工作|节日福利|员工旅游,http://www.chinahr.com/job/5367031787356422.html?searchplace=400,金融 ,101－300人,上海中资联财富投资管理有限公司,180.0,1,全职,经验3年,大专,12-8更新,0.2034749984741211,上海,Android开发,www.chinahr.com
8001-10000,"
                    岗位职责： 1.负责公司基本客服工作，耐心详细的解答用户问题，提高客户满意度； 2.受理用户建议和投诉，做好相关的记录并归档，及时提交给相关部门反馈； 3.配合公司其他部门完成相应的营销推广； 4.根据公司的安排，定期对用户进行回访，维系客户关系； 5.完成领导安排的其他工作。  任职要求： 1.专科以上学历，有B2C性质、泛金融行业、Call Center工作经验优先； 2.普通话标准，口齿伶俐，声音甜美，良好的口头表达能力、善于收集、整理文档和谈判能力； 3.对待工作积极主动，有良好的服务意识，富有较强的责任心； 4.学习能力强，较强的进取精神和认真负责的工作态度；敢于挑战自我，热爱客服工作。 
                ",其他,五险一金|绩效奖金|节日福利|带薪年假|弹性工作|节日福利,http://www.chinahr.com/job/5367252314718727.html?searchplace=400,金融 ,101－300人,美豫投资(上海)有限公司,180.0,1,全职,经验3年,大专,12-8更新,0.2794501781463623,上海,客服经理,www.chinahr.com
20000-25000,"
                    岗位职责： 三年以上商务 一年以上管理 有金融，IT互联网商务经验优先 具备两年以上管理经验 具备独立市场调研能力 具有良好的文案，PPT制作能力 对IT系统运作有一定了解，可为IT系统提出一定改进方案  任职要求： 完成市场调研工作 拓展市场销售渠道 带领团队完成业绩指标 可编写解决方案，并向客户宣导解决方案 
                ",其他,五险一金|绩效奖金|带薪年假|弹性工作|员工旅游|节日福利,http://www.chinahr.com/job/5366559405050886.html?searchplace=400,金融 ,101－300人,上海中资联财富投资管理有限公司,180.0,1,全职,经验5年,大专,12-8更新,0.226485013961792,上海,BD销售,www.chinahr.com
5000-9000,"
                    岗位职责： 1、对信息分析后的数据进行遗传分析，准确及时高效的撰写报告； 2、审核解读结果的准确性，并最终反馈准确无误的报告； 3、对受检者的临床样本报告进行准确无误的解读； 4、日常数据整理。 岗位要求: 1、本科及以上学历， 医学、遗传学及生物医学专业优先； 2、英语六级以上，具有较强的英文文献检索和阅读能力和撰写能力、自我学习能力和较强的责任心； 3、了解基因检测的现状和意义，掌握并能灵活运用计算机办公软件。 
                ",其他,五险一金|话费补贴|带薪年假|定期体检|员工旅游|节日福利|节日福利,http://www.chinahr.com/job/5367025454711043.html?searchplace=400,制药/医疗 ,101－300人,上海美吉生物医药科技有限公司,180.0,1,全职,经验1年,本科,12-8更新,0.24434900283813477,上海,遗传分析师,www.chinahr.com
9000-15000,"
                    岗位职责： 1.善于研究新技术，熟悉软硬件更新计划，  2.对脚本语言有研究，可以实现一部分办公自动化的研究。  3.做事积极细心，考虑问题全面  任职要求：  1.精通windows系统，域控，邮件系统，等微软体系软件的安装维护；  2.熟悉网络架构，至少会配置cisco系列交换路由防火墙，电话系统的基础配置，如有CISCO认证优先；  3.熟悉linux,可安装开源平台下的基础服务；  4.会使用linux脚本或者windows下批处理进行脚本编写；  5.熟悉安全硬件产品，WIFI安全，具备病毒扫描和漏洞修复的能力；  6.可制定office内部办公流程和规范，形成标准化操作，掌握TWIKI的使用；  7.善于思考，积极学习。   
                ",其他,五险一金|绩效奖金|带薪年假|弹性工作|商业保险,http://www.chinahr.com/job/5367032605182466.html?searchplace=400,金融 ,101－300人,数库(上海)科技有限公司,180.0,1,全职,经验3年,大专,12-8更新,0.17705798149108887,上海,helpdesk,www.chinahr.com
15001-20000,"
                    岗位职责： 1、 协助总裁参与事务性项目的洽谈，收集关联行业业务信息，提供依据和分析意见； 2、 负责财务相关会议的组织及材料准备； 3、 负责总裁办有关文件的收集、草拟、整理、下发和归档； 4、 负责及时向总分公司相关部门传达总裁的各项指示和工作安排； 5、 负责财务、金融类专项工作的督办、协调和汇报。  任职要求： 1、财经类相关专业大学本科及以上学历，硕士学历、具有海外留学经历者或具备财务工作经验者优先； 2、形象气质较好，具有良好的商务礼仪素质； 3、具备协调能力、沟通表达能力以及文字表达能力，综合素质好； 4、要求应聘者为人正直、工作勤奋，良好的团队协作精神； 5、工作富有激情，细致严谨，业务敏感，并具有战略前瞻性思维，具有较强的工作责任感。
                ",其他,带薪年假,http://www.chinahr.com/job/5367247036023301.html?searchplace=400,政府/非赢利机构/其他 ,101－300人,上海柯塞威股权投资基金管理有限公司,180.0,1,全职,经验3年,本科,12-8更新,0.23707795143127441,上海,总裁助理（财务方向）,www.chinahr.com
6001-8000,"
                    岗位职责：1、熟悉工作流程，能执行日常广告项目 2、拜访代理公司或者媒体，了解以及引导客户预算走向 3、上级领导布置的其他工作内容  岗位要求： 1、专科以上学历2、一年以上相关工作经验 3、有服务digital代理公司经验者为佳4、优秀的口头及书面表达能力，较强的观察力和应变能力5、具有良好的职业素养及职业道德，有开拓精神，抗压性强；有较强的行业感知能力  
                ",其他,带薪年假,http://www.chinahr.com/job/5367250712592646.html?searchplace=400,广告/媒体/娱乐/出版 ,101－300人,上海传漾广告有限公司,180.0,1,全职,经验1年,大专,12-8更新,0.24118494987487793,上海,媒体销售,www.chinahr.com
6001-8000,"
                    岗位要求：  1、为客户提供专业的投资理财服务； 2、开发新客户； 3、定期进行客户回访，做好老客户的维护； 4、完成每月营业部部门业绩指标； 5、保证部门人力指标合格。 任职资格： 1、高中以上学历，专业不限，有销售经验者优先； 2、形象气质佳；良好的客户沟通、人际交往及维护客户关系的能力； 3、具有敏锐的市场洞察力和准确的客户分析能力，能够有效的开发客户资源。   薪酬福利：底薪7000+提成+管理奖金+福利 
                ",其他,五险一金|绩效奖金|节日福利|话费补贴|带薪年假,http://www.chinahr.com/job/5367263468159494.html?searchplace=400,专业服务 ,101－300人,上海精蕴商务咨询有限公司,180.0,1,全职,经验1年,高中,12-8更新,0.269726037979126,上海,客户经理/销售经理/理财经理/理财顾问/理财专员T2358,www.chinahr.com
10000-20000,"
                    1、机械设计相关专业本科以上学历，有塑料及金属加工的产品设计经验者优先;2、熟悉新产品开发的设计要求及工艺流程；   3、能熟练使用AutoCAD、PROE、SolidWork软件；4、熟悉金属压铸、注塑产品的设计工艺及相应的模具结构，熟悉金属、塑料等类型材料的特性、成形和加工工艺及其表面处理方法； 5、有电子、电气产品结构设计经验者优先考虑；6、具有良好的沟通能力和团队合作精神；7、具备一定对外交往能力，能够与外协工厂清晰沟通.
                ",民营/私企,股票期权|五险一金|优秀人才多,http://www.chinahr.com/job/5364013080805636.html?searchplace=400,计算机软件 ,21－50人,上海秒酷信息科技有限公司,180.0,1,全职,经验应届生,本科,今天更新,0.24316692352294922,上海 闵行区,结构工程师,www.chinahr.com
4001-6000,"
                    岗位职责： 1、熟悉客户接待流程，负责来访人员的接待； 2、负责公司相关部门和各办事处电话、信函、相关档案的管理、收发工作； 3、负责做好公司用电、通讯等费用的管理统计，做好办公设备的日常保养维修工作； 4、负责办公用品的采购； 5、日常考勤统计管理； 6、公司会议安排通知，培训的后勤准备工作； 7、完成领导安排的其他工作。 任职资格： 1、 五官端正，形象气质较好； 2、 性格开朗，反应敏捷，具有良好的服务意识与亲和力，富有团队合作精神； 3、 普通话标准流利，熟悉电话和接待礼仪，熟练使用OFFICE等办公软件； 4、 大专以上学历，一年以上前台文员或行政工作经验优先 ； 5、 欢迎应届毕业生以及实习生 ，金融或人力资源相关专业者优先； 
                ",其他,五险一金|绩效奖金|带薪年假|节日福利,http://www.chinahr.com/job/5362096468790022.html?searchplace=400,金融 ,101－300人,上海中资联财富投资管理有限公司,180.0,1,全职,经验1年,大专,12-6更新,0.34490013122558594,上海,行政人事前台,www.chinahr.com
10001-15000,"
                    职位要求：1、汽车行业经验3年以上；展厅经理、CRM以及市场方向者优先；2、自我学习、自我驱动型人才；3、 注重细节, 对工作充满热情和有高度责任感。4、具备项目管理经验，能够及时响应客户需求，解决问题，维护良好的客户关系 ；5、具有较好的学习能力与创新能力；6、 具有良好的团队协作能力； 7、能够熟练使用Office办公软件。
                ",其他,五险一金|绩效奖金|节日福利|带薪年假|弹性工作|商业保险|节日福利,http://www.chinahr.com/job/5366412495585543.html?searchplace=400,IT/互联网 ,101－300人,上海傲文网络技术有限公司,180.0,1,全职,经验1年,本科,12-8更新,0.22257590293884277,上海,项目管理（汽车）,www.chinahr.com
10000-13000,"
                    岗位职责： 1、协助总经理制定战略计划、年度经营计划及各阶段工作目标分解； 2、起草公司各阶段工作总结和其他正式文件； 3、协助总经理对公司运作与各职能部门进行管理、协调内部各部门关系，尤其是业务部门间的日常工作关系以及事务处理，必要时可单独召集业务沟通会议或工作会议； 4、配合总经理处理外部公共关系（政府、重要客户等）； 5、跟踪公司经营目标达成情况，提供分析意见及改进建议； 6、在公司经营计划、销售策略、资本运作等方面向总经理提供相关解决方案； 7、撰写和跟进落实公司总经理会议、专题研讨会议等公司会议纪要； 8、协助总经理进行公司企业文化、企业战略发展的规划，配合管理办开展企业文化工作； 9、完成其他临时交办的任务。 任职要求： 1、行政管理、企业管理等相关专业本科以上学历； 2、受过战略管理、组织变革管理、项目管理、管理能力开发等方面的培训； 3、10年以上相关行业企业行政管理工作经验； 4、具有较高的综合素质，能够迅速掌握与公司业务有关的各种知识； 5、有较强的组织、协调、沟通、领导能力及出色的人际交往和社会活动能力以及敏锐的洞察力； 6、具有很强的判断与决策能力，计划和执行能力； 7、良好的团队协作精神，为人诚实可靠、品行端正、具有亲和力，较强的独立工作能力和公关能力； 
                ",其他,五险一金|绩效奖金|节日福利,http://www.chinahr.com/job/5366965253081605.html?searchplace=400,IT/互联网 ,101－300人,上海天律信息技术有限公司,180.0,1,全职,经验5年,本科,12-8更新,0.2397630214691162,上海,董事长助理,www.chinahr.com
6001-8000,"
                    职责要求：1.善于洞察目标受众需求，公司需求，具有品牌策划、项目分析能力；2.负责公司线下活动创意与策划工作，进行项目分析、沟通、协调、反馈，切实掌握项目内容；3.与相关部门同事进行项目讨论与创意发想，确定初步创意思路及方向；4.根据活动要求，独立完成活动策划方案、创意文案的撰写和PPT制作；5.给予前期提案、设计创意说明及后期结案报告等服务。 任职资格 ：1、大学专科以上学历，公共关系、广告、市场营销、会展策划与管理企业专业优先2、两年以上相关工作经验，其中一年金融行业活动策划经验；3、有较强的市场感知能力，敏锐地把握市场动态、市场方向的能力；4、善于团队合作，有很强的沟通能力；5、工作有激情，主动性强，学习能力强，考虑问题系统化。
                ",其他,五险一金|绩效奖金|节日福利|带薪年假|弹性工作|节日福利,http://www.chinahr.com/job/5366966008217863.html?searchplace=400,金融 ,101－300人,美豫投资(上海)有限公司,180.0,1,全职,经验1年,其他,12-8更新,0.22214412689208984,上海,市场活动策划专员,www.chinahr.com
15000-20000,"
                    岗位职责： 1、能够独立编写测试计划，设计/维护测试方案、测试用例； 2、根据测试计划搭建测试环境，独立、全面、细致地完成测试工作，完整记录测试结果，编写完整的测试报告等相关的技术文档； 3、对测试中发现的问题进行详细分析和准确定位，并能对产品提出优化方案，实施优化方案提高产品的性能； 4、提出对产品的进一步改进的建议，并评估改进方案是否合理；对测试结果进行总结与统计分析，对测试进行跟踪，并提出反馈意见； 5、有带队、管理经验。 任职要求： 1、至少5年以上的测试经验； 2、具备非常强的测试分析和测试规划能力； 3、熟悉Loadrunner等性能测试工具； 4、思路清晰、逻辑分析能力强； 5、熟悉企业管理型软件测试，包括web和客户端功能。 
                ",其他,五险一金|绩效奖金|节日福利|带薪年假|弹性工作|员工旅游|节日福利,http://www.chinahr.com/job/5367032117364994.html?searchplace=400,IT/互联网 ,101－300人,上海鸿翼软件技术股份有限公司,180.0,1,全职,经验5年,大专,12-8更新,0.1335129737854004,上海,高级测试经理,www.chinahr.com
