salary,job_info,enterprise_attr,job_url,enterprise_industry,job_num,enterprise_scale,job_enterprise,download_timeout,depth,job_attr,exp,edu,date,download_latency,job_place,job_name,download_slot
10001-15000元/月 ,<p>岗位职责</p><p>1.        爬虫数据和电信上网行为数据的去噪处理；</p><p>2.        电商平台的商品归一；</p><p>3.        商品评论的分析处理。</p><p> </p><p>任职资格</p><p>1.        熟练掌握python或java；</p><p>2.        一年以上自然语言处理相关经验；</p><p>3.        熟悉数据结构和算法；</p><p>4.        熟悉Hadoop、Hive、Hbase等大数据工具；</p><p>5.        有网络爬虫开发经验者优先。</p>,国企,http://jobs.zhaopin.com/000336970250086.htm,IT服务(系统/数据/维护),1人 ,20-99人,上海电信恒联网络有限公司,180.0,1,全职,1-3年,本科,2016-12-06,0.3127560615539551,上海,数据挖掘工程师（自然语言处理）,jobs.zhaopin.com
15000-30000元/月 ,"<p>职位要求：</p><p>1、计算机/数学/统计学/管理科学等相关专业硕士及以上学历，2年以上项目经验；</p><p>2、精通一门或多门开发语言（Python、Java最佳）；</p><p>3、有基本商业常识，对数据敏感，善于发现数据中的潜在规律；善于分析问题和解决问题；</p><p>4、熟悉SQL，能够进行数据处理和指标计算；</p><p>5、熟悉常见的数据挖掘算法，包括但不限于LR, SVM, GBDT, Random forest, xgboost等，并对某一算法有自己独到见解；</p><p>6、熟悉数据挖掘流程，包括任务分析、特征处理、模型选型、模型调优、模型上线等全流程；</p><p>7、对算法、海量数据挖掘有商业项目实践经验者优先。有开源实践经验或成果演示者优先；</p><p>8、独立思考，逻辑清晰，快速学习；</p><p>9、具备良好的沟通能力和团队合作精神；</p><p>10、对Spark MLlib有过具体应用，对于深度学习Tensorflow等有研究者优先。</p><p> <span style=""line-height: 1.5;"">岗位职责：</span></p><p>我们希望你能够综合利用统计分析、数据挖掘、机器学习等方法，去解决商业决策上的具体问题，推进数据挖掘和机器学习在商业各类业务领域的新应用。欢迎有志于数据应用的挑战者加入我们。</p><p>此职位需要的具体工作内容如下：</p><p>1、业务调研，与客户及项目经理共同分析和定义问题定义，并提出解决整体思路；</p><p>2、综合利用统计分析、数据挖掘、机器学习等方法，去实现解决方案中的各个步骤，并编写分析报告；</p><p>3、负责编写算法模块，并依据上线情况及时优化调整；</p><p>4、协助产品经理设计相关产品，协助开发工程师进行相关开发；</p><p>5、高性能、高并发的机器学习、数据挖掘方法及架构的研发；</p><p>由于数据保密性，需要经常在客户现场工作。</p><p><br></p>",其它,http://jobs.zhaopin.com/242173619251522.htm,政府/公共事业/非盈利机构,2人 ,20-99人,上海同济科技园孵化器有限公司,180.0,1,全职,1-3年,硕士,2016-12-07,0.08930492401123047,上海,数据挖掘工程师(职位编号：1),jobs.zhaopin.com
15001-20000元/月 ,<p>岗位职责：</p><p>1、 基于海量基础数据描绘目标用户画像，包括用户兴趣、日常行为习惯、社会层次、风险评分等；</p><p>2、 参与设计面向个人和企业用户的刚需型产品的精准研发；</p><p> </p><p>招聘要求：</p><p>1、 计算机专业优先；</p><p>2、 熟练使用SQL、Spark、Hadoop等分布式系统优先考虑；</p><p>3、 熟练掌握各类常见的机器学习算法：广义线性模型、决策树、SVM、神经网络等；</p><p>4、 从事过用户画像、社交网络分析等项目，有过数据挖掘经验优先；</p><p>5、 思路清晰，有良好的沟通能力和跨团队协调能力，勇于寻求挑战、突破自我。</p><p><br></p>,民营,http://jobs.zhaopin.com/377822883250041.htm,互联网/电子商务,1人 ,100-499人,中望金服信息科技(北京)有限公司,180.0,1,全职,不限,本科,2016-12-07,0.19140291213989258,上海,数据挖掘师（YL）,jobs.zhaopin.com
15001-20000元/月 ,<p>岗位职责：     </p><p>1、负责研发数据分析预测模型，如电量预测、负荷预测、用电维修工单预测，电费回收风险预测、设备故障预测等模型，并参与模型上线部署、追踪维护等工作；</p><p>2、负责对客户数据进行分析与挖掘，完成各类数据分析报告或应用方案，深入解读数据内含的规律，解释数据挖掘的洞见发现；</p><p>3、根据客户的业务需求，撰写数据挖掘和建模的技术方案；</p><p>4、研究前沿的大数据挖掘，机器学习算法，并应用于电力行业。</p><p><br></p><p>任职资格      </p><p>1、本科及以上学历，统计，数学，经济学，计算机专业优先；      </p><p>2、1年或以上电力、金融、保险、营销、通信、零售等行业数据分析及建模经验，熟悉数据挖掘项目过程，熟练掌握SAS、SPSS、R、Python、Matlab语言等大数据分析和建模工具（至少精通一种），熟练掌握Microsoft Excel，熟悉一种主流数据库，精通SQL，熟悉一门编程语言如Java，熟悉Hadoop/Spark等大数据相关技术者优先；</p><p>3、熟悉常用数据挖掘算法如线性回归，逻辑回归，决策树，聚类分析，时间序列等；</p><p>4、 良好的沟通表达能力，能快速完成从业务模型到数据模型的设计、开发与验证工作。</p><p><br></p>,民营,http://jobs.zhaopin.com/201668527252774.htm,IT服务(系统/数据/维护),2人 ,500-999人,上海博辕信息技术服务有限公司,180.0,1,全职,3-5年,本科,2016-12-07,0.2192530632019043,上海,数据挖掘工程师,jobs.zhaopin.com
9600-19200元/月 ,"<p>岗位职责：</p><p><span style=""line-height: 1.5;"">1. 负责大数据挖掘新产品设计与开发。</span></p><p>2. 大数据挖掘及应用开发团队技术指导、方案规划及模型设计<br>3. 负责大数据潜在高价值数据的挖掘和分析<br>4. 分析产品需求，独立完成相关软件架构、代码设计及调适开发工作<br>5. 用户行为数据离线准实时分析 </p><p>任职要求：</p><p>1、有数据挖掘和机器学习相关学习经历或工作经验，有较深的数据与算法功底；<br>2、熟悉Hadoop、Hive或其它开源数据挖掘或机器学习技术；<br>3、具备2年及以上的数据挖掘工作；<br>4、有R语言海量数据分析经验；<br>5、有挖掘工具使用经验者，如SPSS、SAS、R其中之一<br>6、熟悉聚类、推荐、预测等挖掘算法<br>7、参与过Mahout、Storm、Spark相关具体项目者优先<br>8、大数据营销分析经验者优先<br>9、有海量文本数据分析经验者优先<br>10、有零售用户行为数据挖掘分析经验者优先<br><br>工作地点：上海 </p>",民营,http://jobs.zhaopin.com/329574926253347.htm,零售/批发,1人 ,10000人以上,永辉超市股份有限公司,180.0,1,全职,不限,不限,2016-12-08,0.2551760673522949,上海,大数据挖掘工程师,jobs.zhaopin.com
10001-15000元/月 ,<p>岗位职责：</p><p>1、负责数据挖掘、机器学习领域的研究与应用；</p><p>2、带领团队实现影视行业的风控模型，对影片生命周期的每个环节提供量化的数据支撑，降低投资风险，量化投资回报<br> 3、带领团队实现影视行业的舆情监控，为影片宣发提供指导和效果评估，最终达到干预影片的舆情走势</p><p>4、解决关键的模型难点，提高准确度，对关键算法进行选型和攻关<br> 5、指导团队进行大型机器学习系统的设计与开发；</p><p>任职要求：</p><p>1、本科以上学历，统计、数学或计算机专业<br> 2、熟悉Python、Java任意一种语言，熟悉数据结构和算法设计</p><p>3、具有3年金融行业或互联网行业，基于大数据的风险控制或信用评估工作经验<br> 4、熟悉大规模数据挖掘、机器学习、自然语言处理、分布式计算等相关技术者优先</p><p>5、了解电影行业，或对电影行业感兴趣者优先<br> 6、能够快速熟悉新的领域</p><p>7、具有良好的学习能力、时间和流程意识、沟通能力、团队合作、坦诚直接</p><p><br></p>,民营,http://jobs.zhaopin.com/452075328250019.htm,房地产/建筑/建材/工程,1人 ,20人以下,恩嘉玮企业管理咨询(上海)有限公司,180.0,1,全职,3-5年,本科,2016-12-09,0.1811220645904541,上海,数据挖掘leader,jobs.zhaopin.com
10000-20000元/月 ,"<p>岗位职责：</p><p>1、负责公司数据分析挖掘平台的建立，底层数据标准化处理</p><p>2、基本公司多种数据源进行数据集市与数据仓库开发</p><p>3、基于业务，对用户行为数据整合、分析挖掘并开发数据挖掘产品</p><p>4、通过对行为数据深入分析与挖掘找到现有产品改进与优化方向</p><p>任职要求：</p><p>1. 3年以上工作经历；热爱互联网，有浓厚的兴趣从事数据处理与数据挖掘</p><p>2. 熟悉数据库理论，有丰富的SQL编程经验及ETL流程，精通至少一门编程语言（Java、Python, Perl等）</p><p>3. 良好的逻辑思维能力，能够从海量数据中发现数据规律，体现价值；对数据敏感，能够发现关键数据与问题</p><p>4. 有电信级数据处理项目经验</p><p>5. 较强烈的上进心和沟通能力，能有良好的团队合作精神</p><p><br></p>",民营,http://jobs.zhaopin.com/425912514250178.htm,专业服务/咨询(财会/法律/人力资源等),1人 ,20人以下,衡驰企业管理咨询(上海)有限公司,180.0,1,全职,1-3年,不限,2016-12-10,0.3123970031738281,上海,数据挖掘工程师,jobs.zhaopin.com
10001-15000元/月 ,<p>岗位职责：<br>1、负责SSAS的开发;<br>2、负责SSRS的开发；<br>3、DBA相关工作<br>岗位要求：<br>1、精通数据分析、挖掘方法，能熟练运用微软挖掘工具和技能；<br>2、掌握基本数据挖掘算法；<br>3、掌握微软SSAS、SSRS；<br>4、有责任心，学习能力强，具有良好的团队合作精神，对工作有热情；<br>5、有相关经验者优先</p>,民营,http://jobs.zhaopin.com/143884353250009.htm,IT服务(系统/数据/维护),2人 ,20-99人,上海晏鼠计算机技术有限公司,180.0,1,全职,1-3年,本科,2016-12-12,0.12077784538269043,上海,数据分析与挖掘,jobs.zhaopin.com
20001-30000元/月 ,<p><br>岗位描述：<br><br>1.数据统计分析：游戏业务用户行为数据统计与分析，产品效果评估与分析，为产品策略优化迭代提供强有力的数据支持 <br><br> 2.数据挖掘：从海量日志数据中发掘有价值的信息，建立多个维度上的模型，用于指导产品优化<br><br>岗位要求：<br><br>1.数学、统计、金融、计算机或者相关专业本科以上学历 <br><br> 2.熟悉Java/Python，熟练掌握SQL，具有3年以上开发或者统计分析经验 <br><br> 3.了解HADOOP大数据平台架构，熟悉HDFS/HBase/Hive/MapReduce，熟练掌握Mapreduce程序开发 <br><br> 4.对数据仓库系统架构具有良好的认知，熟悉数据仓库相关技术，如 ETL、报表开发，具备数据分析技术并具有相关项目经验 <br><br> 5.掌握常用的数据分析工具、数据挖掘、机器学习算法是加分项<br><br> <br><br><br><br><br></p>,上市公司,http://jobs.zhaopin.com/185188116253179.htm,网络游戏,1人 ,1000-9999人,上海巨人网络科技有限公司,180.0,1,全职,不限,不限,2016-12-12,0.2074580192565918,上海,资深数据挖掘/数据分析工程,jobs.zhaopin.com
15000-25000元/月 ,<p>A strong passion for finding insights and,外商独资,http://jobs.zhaopin.com/000274573252040.htm,IT服务(系统/数据/维护),1人 ,1000-9999人,凯捷中国,180.0,1,全职,不限,不限,2016-12-16,0.2969658374786377,上海,数据挖掘/Data Mining,jobs.zhaopin.com
