salary,job_info,enterprise_attr,job_url,enterprise_industry,job_num,enterprise_scale,job_enterprise,download_timeout,depth,job_attr,exp,edu,date,download_latency,job_place,job_name,download_slot
20001-30000元/月 ,"<p>岗位职责：</p><p>1、研究机器学习/深度学习/NLP等相关前沿技术；</p><p>2、探索将机器学习/深度学习算法应用到现实场景；</p><p>3、带领和培养数据挖掘团队，根据业务要求，设计开发数据模型并落地实施应用；</p><p>任职要求：</p><p>1、要求数学/统计学/计算机相关专业博士学历，对常用算法有深刻理解；</p><p>2、熟悉常见深度神经网络(DNN, CNN, RNN, LSTM等)，并能够将其应用于特定场景中去；</p><p>3、熟悉主流的深度学习框架，如TensorFlow,Caffe、Mxnet、Theano、Torch等任一种。</p><p>4、扎实的机器学习/数据分析理论和技术基础，能根据应用场景选择合适的算法工具；</p><p>5、熟悉并行算法，了解多核和GPU开发；</p><p><br></p>",国企,http://jobs.zhaopin.com/185267711250433.htm,计算机软件,1人 ,100-499人,武汉虹旭信息技术有限责任公司,180.0,1,全职,不限,博士,2016-12-17,0.05330801010131836,上海,机器学习研究员,jobs.zhaopin.com
20000-40000元/月 ,<p>岗位职责:<br></p><p>1、针对苏宁金服每天亿级用户的交易支付行为，采用各种有效的机器学习方法和策略，进行盗卡、盗账户、欺诈行为等监控、检测、识别和防范<br>2、构建客户交易支付行为的特征标签，包括各种动静态特征、时序行为、风险网络和地理位置识别标签等； <br>3. 主导并管理整个模型生命周期；规划模型路线，调动内部外部资源配合产品开发进程 <br>4. 监控模型上线后的市场反馈和各项数据，持续改进产品体验；</p> ,上市公司,http://jobs.zhaopin.com/193798421262421.htm,互联网/电子商务,1人 ,10000人以上,苏宁云商集团股份有限公司,180.0,1,全职,3-5年,本科,2016-12-20,0.04318094253540039,上海,风控-机器学习工程师(003528)(职位编号：suning003528),jobs.zhaopin.com
15000-29999元/月 ,<p>岗位职责:<br></p><p>1、针对公司每天亿级用户的交易支付行为，采用各种有效的机器学习方法和策略，进行盗卡、盗账户、欺诈行为等监控、检测、识别和防范<br>2、构建客户交易支付行为的特征标签，包括各种动静态特征、时序行为、风险网络和地理位置识别标签等； <br>3. 主导并管理整个模型生命周期；规划模型路线，调动内部外部资源配合产品开发进程 <br>4. 监控模型上线后的市场反馈和各项数据，持续改进产品体验；</p> ,上市公司,http://jobs.zhaopin.com/193798421261393.htm,互联网/电子商务,1人 ,10000人以上,苏宁云商集团股份有限公司,180.0,1,全职,3-5年,硕士,2016-12-20,0.03310585021972656,上海,机器学习工程师（风控）(002428)(职位编号：suning002428),jobs.zhaopin.com
15001-20000元/月 ,"<p>岗位职责</p><p></p><p>1、使用机器学习及大数据技术，为用户提供准确、快速、精准的医疗服务；</p><p>2、基于海量数据建立定位的基础模型，并能不断优化模型，用于准确的定位</p><p>3、追踪学术界和工业界深度学习最近的研究和应用成功；</p><p>任职要求</p><p></p><p>1、硕士以上学历，扎实的机器学习、数据挖掘、统计学理论基础；</p><p>2、精通常见机器学习算法（如逻辑回归、SVM、神经网络、决策树、贝叶斯等），有实际建模经验；</p><p>3、具有扎实的计算机操作系统、数据结构等编程基础，精通至少一门编程语言例如JAVA/python/R等，编程能力扎实；</p><p>4、熟悉Map-Reduce模型，对Hadoop、Spark、Storm等大规模数据存储与运算平台有实践经验优先；</p><p>5、始终充满学习的热情，有较强的系统思考能力，不拘泥于经典分析框架，具有创新精神。</p><p>符合以下条件优先：</p><p>1、有医疗系统算法工程师的工作经历；</p><p>2、精通Deep Learning某种开源平台（Caffe,Tensorflow, Torch等）；</p><p>3、参与将Deep Learning技术应用到临床医学的工作经历。</p>",民营,http://jobs.zhaopin.com/153774712253481.htm,计算机软件,2人 ,1000-9999人,卫宁健康科技集团股份有限公司,180.0,1,全职,1-3年,本科,2016-12-20,0.04076695442199707,上海,机器学习工程师-上海-00210,jobs.zhaopin.com
面议 ,"<p><strong>岗位职责：</strong></p><p>1) 针对计算机视觉, 数据挖掘或者ADAS等某一工程应用下的DL/ML算法的芯片应用实现；<br>2) 能评估或者比较DL/ML算法，为相应的芯片设计提供性能或者开销方面的优化改进；<br>3) 以Top-down的系统视角，进行从芯片到API framework/Libs的系统架构设计；<br>4) 与其他芯片或者软/硬件系统架构师进行紧密有效沟通。<br></p><p><strong>岗位要求：</strong></p><p>1) 精通神经网络主流算法和网络结构，在人工智能、机器学习/深度学习等领域有丰富经验；<br>2) 有实际的GPU/FPGA/ASIC设计经验，同时对如Tensorflow， Caffe, 等平台有实际的应用经验；<br>3) C/C++, Python, 或Matlab, Java编程技能, 熟悉Linux/Android环境；<br>4) 有大规模并行计算相关经验尤佳；<br>5) 流利的英语交流和读写能力和优秀的沟通交流能力。<br></p>",民营,http://jobs.zhaopin.com/000542945273568.htm,通信/电信运营、增值服务,10人 ,10000人以上,华为技术有限公司,180.0,1,全职,不限,不限,2016-12-20,0.054221153259277344,上海,机器学习系统架构师,jobs.zhaopin.com
面议 ,<strong>工作职责：</strong><br>保持对学术界最新研究动态跟踪，参与计算机视觉、机器学习等人工智能前沿的应用研究，依托团队产出发表高水平论文；<br>针对现实世界中具有挑战性的机器学习问题，提出创造性的解决方案或者关键思路，建立原型。<br><strong>工作要求：</strong><br>知名院校计算机博士学位，相关技术领域多年实践经验，敏锐的洞察力，优秀的发现问题、分析问题和解决问题的能力；<br>坚实的计算机视觉，机器学习特别是深度学习等人工智能领域的算法基础和实践能力，独立完成理论推导、算法设计和原型实现；<br>至少有C，C ++，Python，Matlab一种或多种语言的熟练编程经验；<br>较多顶级论文发表记录，如NIPS，ICML，ICCV，CVPR等；<br>有过全职经验的高校老师、实验室或大型公司研究员优先考虑。,民营,http://jobs.zhaopin.com/12007229090283497000.htm,IT服务(系统/数据/维护),1人 ,10000人以上,深圳腾讯计算机系统有限公司,180.0,1,全职,1-3年,博士,2016-12-20,0.0403599739074707,上海,20503-机器学习高级研发职位（上海）(职位编号：24429),jobs.zhaopin.com
