salary,job_info,enterprise_attr,job_url,enterprise_industry,job_num,enterprise_scale,job_enterprise,download_timeout,depth,job_attr,exp,edu,date,download_latency,job_place,job_name,download_slot
4001-6000元/月 ,"<div style=""font-size:12px;min-height:16px;""><p style=""font-size: 14px; font-family: simsun; margin: 0px; padding: 0px; font-stretch: normal; line-height: 25px; color: rgb(51, 51, 51); background-color: rgb(255, 255, 255);"">岗位职责:<br>1、全程参与软件项目的需求分析、设计、开发及测试等几个阶段；<br>2、参与软件质量管理，负责保障代码质量，软件项目的持续优化、改进工作；<br>3、公司有完善的岗前内训体系，给经验不足的员工提供前期的岗前培训。</p><p style=""font-size: 14px; font-family: simsun; margin: 0px; padding: 0px; font-stretch: normal; line-height: 25px; color: rgb(51, 51, 51); background-color: rgb(255, 255, 255);""> 岗位要求</p><p style=""font-size: 14px; font-family: simsun; margin: 0px; padding: 0px; font-stretch: normal; line-height: 25px; color: rgb(51, 51, 51); background-color: rgb(255, 255, 255);"">1、国家统招大专及以上学历；</p><p style=""font-size: 14px; font-family: simsun; margin: 0px; padding: 0px; font-stretch: normal; line-height: 25px; color: rgb(51, 51, 51); background-color: rgb(255, 255, 255);"">2、希望转型到高薪职位的IT从业人员；或在销售、文职、财务、管理、建筑、采购及预算等领域工作多年，想进入IT行业的从业者；有想法进入百强企业，上市公司。</p><p style=""font-size: 14px; font-family: simsun; margin: 0px; padding: 0px; font-stretch: normal; line-height: 25px; color: rgb(51, 51, 51); background-color: rgb(255, 255, 255);"">3、毕业后，没有机会进入理想行业的大学生，特别是：计算机、信息管理、经济管理、工业工程、自动化、物流供应链、电子商务专业。</p><p style=""font-size: 14px; font-family: simsun; margin: 0px; padding: 0px; font-stretch: normal; line-height: 25px; color: rgb(51, 51, 51); background-color: rgb(255, 255, 255);"">4、有意从事IT行业同学，对IT专业感兴趣，有接触过这方面知识的优先。</p><p style=""font-size: 14px; font-family: simsun; margin: 0px; padding: 0px; font-stretch: normal; line-height: 25px; color: rgb(51, 51, 51); background-color: rgb(255, 255, 255);"">5、有无相关经验均可，欢迎优秀的应届大学毕业生。</p><p style=""font-size: 14px; font-family: simsun; margin: 0px; padding: 0px; font-stretch: normal; line-height: 25px; color: rgb(51, 51, 51); background-color: rgb(255, 255, 255);""><br></p><p style=""font-size: 14px; font-family: simsun; margin: 0px; padding: 0px; font-stretch: normal; line-height: 25px; color: rgb(51, 51, 51); background-color: rgb(255, 255, 255);""><br></p><h1 style=""font-size: 14px; font-family: simsun; margin: 12px 0px 0px; padding: 0px; color: rgb(51, 51, 51); line-height: 25px; background-color: rgb(255, 255, 255);"">工作地址</h1><h2 style=""font-size: 14px; font-family: simsun; margin: 0px; padding: 0px; font-weight: 400; color: rgb(51, 51, 51); line-height: 25px; background-color: rgb(255, 255, 255);"">上海市徐汇区宜山路1388号民润大厦1号楼1楼A座</h2></div>",上市公司,http://jobs.zhaopin.com/422282532251495.htm,计算机软件,8人 ,10000人以上,上海众软信息科技有限公司,180.0,1,全职,1年以下,大专,2016-12-20,0.24446892738342285,上海,腾讯业务线急聘大数据分析实训生/应往届均可,jobs.zhaopin.com
4001-6000元/月 ,"<div style=""font-size:12px;min-height:16px;""><div class=""previewConInbox""><div style=""min-height: 16px;""><span style=""LINE-HEIGHT: 30px; BACKGROUND-COLOR: rgb(255,255,255); FONT-FAMILY: 'Microsoft YaHei'; COLOR: rgb(51,51,51); FONT-SIZE: 14px"">岗位职责：</span><br style=""LINE-HEIGHT: 30px; BACKGROUND-COLOR: rgb(255,255,255); FONT-FAMILY: 'Microsoft YaHei'; COLOR: rgb(51,51,51); FONT-SIZE: 14px""><span style=""LINE-HEIGHT: 30px; BACKGROUND-COLOR: rgb(255,255,255); FONT-FAMILY: 'Microsoft YaHei'; COLOR: rgb(51,51,51); FONT-SIZE: 14px"">1. ",合资,http://jobs.zhaopin.com/414584584250243.htm,互联网/电子商务,6人 ,1000-9999人,余维(上海)科技有限公司,180.0,1,全职,不限,大专,2016-12-19,0.12127804756164551,上海,数据挖掘工程师助理（大数据方向）,jobs.zhaopin.com
20001-30000元/月 ,"<p>职位要求：<br></p><p>－全日制本科及以上学历；</p><p>－精通Java核心技术；</p><p>－有分布式高并发实时数据平台设计和开发经验；</p><p>－熟练使用和管理Linux系统；</p><p>－具备快速学习能力，实际动手能力，解决问题能力，沟通表达能力；</p><p>－掌握以下若干技术：Storm, Hadoop, Redis, Flume, Kafka, Spring, Docker, AWS。</p><p><br></p><p>工作职责：</p><p>负责打造全新的基于开源框架和云计算技术的大数据平台。该平台用于采集、传输、计算、分析、存储、挖掘海量用户行为数据。它将是一个采用分布式架构的支撑高并发的高可用系统，要实现遗留系统数据统计逻辑的迁移，并力争将现有数据平台的数据处理能力提升一个数量级。</p><p><br></p><p><br></p><p>我们寻找这样的同事：</p><p>－充满活力，踏实敬业，乐于分享与合作；</p><p>－和我们一起用技术揭示数据所蕴含的商业意义。</p><p><br></p><p>加入我们：</p><p>－您将有机会与全球著名的体育和娱乐巨头等NeuLion合作伙伴同事，参与构建其激动人心的新媒体发展业务平台；</p><p>－您将有机会融入NeuLion全球开发团队，与来自不同国家和地区的优秀研发人员一起成就您的职业发展；</p><p>－您将有机会分享NeuLion的发展与成就，与我们全球同事一起创建和享受开放、激情和友爱的企业文化，在每年的股权激励中分享公司的成长和回报。</p>",外商独资,http://jobs.zhaopin.com/148060705250287.htm,互联网/电子商务,1人 ,100-499人,新诗信息科技(上海)有限公司,180.0,1,全职,5-10年,本科,2016-12-20,0.33641505241394043,上海,大数据开发工程师,jobs.zhaopin.com
20000-40000元/月 ,<p>岗位职责：</p><p>1.负责公司大数据平台架构的规划与设计；</p><p>2.负责大数据平台技术框架的选型与技术难点攻关；</p><p>3.研究跟进大数据架构领域新技术并分享；</p><p>4.大数据处理和分析应用平台的设计指导。</p><p><br></p><p>任职要求：</p><p>1.硕士以上，3年以上相关工作经验；</p><p>2.具备深厚的分布式系统或数据库系统的理论基础，具有分布式文件系统、分布式数据库系统、集群存储系统等架构设计经验；</p><p>3.具备相关产品（Hadoop、Hive、HBase、Pig等）项目应用研发经验，有MapReduce开发的实战经验；</p><p>4.熟悉关系型数据库、分布式存储、NoSQL数据库技术（如Oracle、Mysql、MonogoDB、Redis、Cassandra等），有实际生产项目应用经验；</p><p>5.有数据融合经验的优先；</p><p>6.精通Linux/Unix环境，精通Java/C++开发，有Python经验更好；</p><p>7.具备优秀的团队意识和沟通能力，学习能力和主动性强，具有钻研精神，充满激情，乐于接受挑战。</p><p><br></p>,上市公司,http://jobs.zhaopin.com/000426024251688.htm,电子技术/半导体/集成电路,1人 ,500-999人,北京海兰信数据科技股份有限公司,180.0,1,全职,3-5年,硕士,2016-12-19,0.19895601272583008,上海,大数据高级架构师,jobs.zhaopin.com
8001-10000元/月 ,"<p>公司文化：<br> 我们需要努力学习肯付出的团队成员, 只要你肯付出 创造出价值,我们会给您意想不到的薪酬!!!<br> <br>工作职责：<br>1. 负责公司BI解决方案与服务销售及市场拓展，发掘行业大客户及目标客户，并完成公司相应考核指标；<br>2、帮助客户分析其业务模式，深挖客户真实需求，向客户提供有效完整的解决方案与服务；<br>3. 针对具体目标客户，制定并实施有效的销售方案，执行、完成销售计划<br>4. 深挖和拓展潜在客户资源，并维持与原有客户良好的合作关系；<br>5. 协助客户经理完成解决方案及服务销售；<br> <br>岗位要求：<br>1、计算机及相关专业本科毕业以上；<br>2、具有1-2年以上IT行业软件或解决方案销售经验；<br>3、熟悉Microstrategy IBM Congas Microsoft ssis SAP BO Oracle BIEE Tableau商业智能解决方案；<br>4、很强的学习能力，能快速接受新知识并给客户进行演讲；<br>5、敏锐的市场意识，良好的沟通与协调能力、良好的谈判技巧和判断能力；<br>6、工作勤奋，富有激情、责任心强，能承受工作压力；<br>7、具有良好的团队合作精神，执行能力强，善于学习；<br>8. 能独立承担项目售前的客户需求分析、系统解决方案设计、标书的制作及项目管理与跟进者优先；<br> <br> 福利待遇：（10w~30w）<br>1、公司提供技术培训，包括大数据、数据仓库、BI等；<br>2、公司每年组织员工国内旅游，公司可提供住宿。<br>3、公司对优秀的技术人员给予广阔的职业发展空间 <br>4、享受标准社会保险（养老保险，医疗保险，工伤保险，失业保险，生育保险），住房公积金。<br>注：<br>本人不在上海的请勿投递本职位。<br>工作地点：上海/部分工作时间自由 <br></p>",民营,http://jobs.zhaopin.com/149520317250001.htm,计算机软件,1人 ,100-499人,上海罗盘信息科技有限公司,180.0,1,全职,不限,本科,2016-12-19,0.18936991691589355,上海,S-01 大数据解决方案销售(年薪10-30w)(职位编号：S-01),jobs.zhaopin.com
10000-20000元/月 ,"<p><span style=""line-height: 1.5;"">职责：                                 </span></p><p>· 按照规范及设计文档完成编码工作，并对代码质量负责；</p><p>· 编写及维护技术开发相关文档；</p><p>· 能够对自己开发的代码设计并编写单元测试及功能测试代码；</p><p>· 学习和研究新技术以满足产品的需求；</p><p>· 为产品改进、优化、效率提升设计开发产品内部工具。</p><p> </p><p>要求：</p><p>· 计算机相关专业本科及以上；</p><p>· 软件基础理论知识扎实，具有良好的数据结构、算法功底；</p><p>· 熟悉Hadoop等分布式开发，了解Hadoop相关各种开源项目，如：Hive、Hbase等，并有实际应用，熟悉Storm、Spark者优先；</p><p>· 熟练应用Spring、Java Cache等开源框架；</p><p>· 熟悉MySQL等关系型数据库，熟悉NoSQL数据库者优先；</p><p>· 对新技术敏感，有一定独立分析，技术研究能力；</p><p>· 熟练使用Linux环境下开发者优先；</p><p>熟悉至少一种版本控制工具，如：SVN，熟悉分布式版本控制工具Mercurial或Git者优先；</p><p>· 有个人开源项目或参与开源项目者优先；</p><p>· 有代码洁癖和自发组织Code Review的开发者优先；</p><p>· 提供本人半年内写过的代码，不限开发语言；</p><p><br></p>",民营,http://jobs.zhaopin.com/405797031250030.htm,计算机软件,1人 ,20-99人,上海云逐信息技术有限公司,180.0,1,全职,3-5年,大专,2016-12-19,0.1967000961303711,上海,大数据工程师,jobs.zhaopin.com
6001-8000元/月 ,<p>能力要求：</p><p>1) 具有计算机科学、软件工程、地理信息系统等测绘专业或相关专业方向的大学本科及以上学历，国家211工程大学毕业；</p><p>2) 熟练掌握C++/Java编程，具有较强的数据结构及算法设计能力；</p><p>3) 熟悉SQL语言，能够操作Mysql，PostgreSql等数据库，对数据存储和索引机制等有一定了解；</p><p>4）了解分布式海量数据处理技术、big data体系架构、hadoop、hive、hbase等开发；</p><p>5) 熟悉Linux系统，有自然语言处理、数据挖掘相关经验者优先；</p><p>6) 具有Lucene或Sphinx框架开发经验者优先；</p><p>7）具有地图、GIS、导航数据处理和分析工作经验者优先；</p><p>8) 对程序开发有着浓厚的兴趣和工作责任心，具有良好的学习能力、沟通能力及团队协作能力；</p><p>工作职责：</p><p>1）建设基于云计算的地图数据平台；</p><p>2）建设数据仓库，完成海量数据的分析和挖掘工作；</p><p><br></p>,民营,http://jobs.zhaopin.com/120529737251242.htm,计算机软件,2人 ,500-999人,易图通科技（北京）有限公司,180.0,1,全职,1-3年,本科,2016-12-19,0.3690469264984131,上海,C++/Java/Linux/NLP/Big Data/Mysql/大数据研发工程师,jobs.zhaopin.com
8001-10000元/月 ,<p>岗位职责：</p><p>1、负责大数据平台的设计、开发、单元测试工作；<br>2、能够按照进度要求完成相关的开发任务，<br>3、配合测试人员的测试工作，及时修复测试过程发现的BUG，并不断对系统进行优化；    </p><p>任职要求：</p><p>1、大学专科以上学历毕业，3年或3年以上工作经验；<br>2、精通Java或C/C++，熟练使用scala；<br>3、精通CDH、spark、storm；<br>4、熟悉MySQL、Redis、HBase、ES系统；<br>5、熟悉分布式软件开发过程、软件设计模式、常用的的开发框架；<br>6、具有良好的沟通能力，良好的团队合作精神，对工作积极主动，能有条理的完成工作任务。<br>7、有基于hadoop、spark、storm进行数据产品开发经验者优先。</p>,民营,http://jobs.zhaopin.com/633012020250106.htm,互联网/电子商务,5人 ,100-499人,杭州美盈网络科技有限公司,180.0,1,全职,1-3年,大专,2016-12-07,0.0725259780883789,上海,大数据开发工程师,jobs.zhaopin.com
15000-30000元/月 ,"<p>职位要求：</p><p>1.本科及以上学历、计算机相关专业，基础扎实；3年以上相关经验；</p><p>2.熟练掌握Java，懂python/R更加；</p><p>3.熟悉Linux的shell命令，灵活运用shell做文本处理和系统操作；</p><p>4.熟练掌握SQL，理解 Hive/Mysql 基本原理和调优策略；</p><p>5.熟悉消息队列Kafka/Flume；</p><p>6.有从事分布式数据存储与计算平台应用开发经验，熟悉Hadoop，Spark，HBase及Hive等；</p><p>7.有使用Spark SQL进行数据处理, 并具有SPARK SQL优化经验；</p><p>8.有从事实时计算的经验，如Spark Streaming及Storm等；</p><p>9.能快速学习新技术。</p><p>10.具有丰富的海量数据ETL加工处理经验，有Kylin、Spark MLlib等的开发经验优先。</p><p><span style=""line-height: 1.5;"">岗位职责：</span></p><p>我们希望你能够构建常用的大数据计算平台，帮助公司在平台上开发各类商业智能应用的产品。欢迎有志于数据应用的挑战者加入我们。</p><p>此职位需要的具体工作内容如下：</p><p>1.搭建公司内部大数据平台和数据仓库。</p><p>2.为公司各类核心产品的研发搭建合理的大数据架构。</p><p>在大数据平台上开发具有数据分析、数据挖掘能力的创新型产品。</p><p><br></p>",其它,http://jobs.zhaopin.com/242173619251521.htm,政府/公共事业/非盈利机构,2人 ,20-99人,上海同济科技园孵化器有限公司,180.0,1,全职,3-5年,本科,2016-12-07,0.21054291725158691,上海,大数据工程师(职位编号：1),jobs.zhaopin.com
15001-20000元/月 ,<p>岗位职责：</p><p>1.负责大数据平台的搭建、问题解决和调优</p><p> </p><p>2.负责项目中和公司已有系统及外部系统的数据对接和ETL工作</p><p> </p><p>3.负责大数据平台上的模型构建和数据挖掘算法的实现</p><p> </p><p>4.负责其他和大数据平台相关的项目的设计和实现</p><p> </p><p>5.维护大数据平台的稳定和可靠</p><p> </p><p>任职要求：</p><p> </p><p>岗位要求：</p><p> </p><p>1. 有hadoop、hive应用与开发经验，能够熟练得编写mr程序和hive sql和udf</p><p> </p><p>2. 能够熟练编写较为复杂的hive sql语句</p><p> </p><p>3. 熟悉以下一种或多种语言：java、python、shell、scala等</p><p> </p><p>4. 熟悉使用至少一种以上的nosql数据库，如：mongodb、redis、hbase等</p><p> </p><p>5. 熟悉大数据技术，如：hadoop、hbase、hive、spark、flume、elasticsearch等</p><p> </p><p>6. 有linux系统操作经验，能够在linux系统下进行工作</p><p> </p><p>7. 具备优秀的编程能力及良好的编程习惯</p><p> </p><p>8. 对技术有激情，喜欢钻研，能够快速接受和掌握新技术，有良好的团队合作精神、能够承受较大的工作压力</p><p></p>,民营,http://jobs.zhaopin.com/377567586250015.htm,基金/证券/期货/投资,2人 ,20-99人,上海敬翌网络科技有限公司,180.0,1,全职,3-5年,本科,2016-12-07,0.20927095413208008,上海,大数据架构师,jobs.zhaopin.com
