salary,job_info,enterprise_attr,job_tags,job_url,enterprise_industry,enterprise_scale,job_enterprise,download_timeout,depth,job_attr,exp,edu,date,download_latency,job_place,job_name,download_slot
20001-30000,"
                    岗位职责： 1、设计和搭建数据挖掘平台，提供数据分析、数据挖掘服务； 2、运用数据挖掘和机器学习方法和技术，对海量数据进行分析，深度挖掘用户行为特征，构建用户标签、用户画像体系； 3、评估数据挖掘平台效果，持续优化平台性能和精准度； 任职要求： 1、计算机、数学或者统计学相关专业本科以上学历，2年以上大数据挖掘经验； 2、熟练掌握Java语言、常用的数据结构和算法； 3、对数据仓库、数据挖掘理论和实践有较深入的理解； 4、熟悉Spark等分布式机器学习框架，熟悉Hadoop/HBase/Hive等大数据处理平台。 
                ",其他,五险一金|绩效奖金|带薪年假|弹性工作|节日福利,http://www.chinahr.com/job/5364135464012294.html?searchplace=400,IT/互联网 ,101－300人,上海容易网电子商务股份有限公司,180.0,1,全职,经验1年,其他,12-7更新,0.22703289985656738,上海,数据挖掘工程师,www.chinahr.com
10001-15000,"
                    岗位职责： 1、结合业务需求，对数据进行深度分析，为运营和决策提供有质量的数据支持；2、基于海量数据和其他数据，分析和研究数据与实际业务的关联关系，挖掘用户属性和行为特征，并以实际业务应用为导向进行应用创新；3、基于TSP后台的数据，用车行为、车主画像等相关领域的算法研究。 任职要求： 1、计算机或数学相关专业，硕士及以上学历；2、有数据挖掘和机器学习的相关背景；3、至少熟悉R、Python、SPSS、Weka中的一种，有一定的Hadoop、Spark、Hive等实际工作经验；4、熟悉常见数据挖掘及机器学习算法，如回归、分类、聚类等；5、扎实的编程能力，熟悉计算机的基础理论，对数据结构和算法设计有深刻的理解；6、良好的逻辑思维能力，能够从海量数据中发现有价值的规律，对数据敏感，能够发现关键数据、发现关键问题。
                ",其他,节日福利,http://www.chinahr.com/job/5364168190855685.html?searchplace=400,房地产/建筑 ,101－300人,广东简聘网信息技术有限公司上海分公司,180.0,1,全职,经验1年,硕士,12-7更新,0.20682787895202637,上海,数据挖掘工程师,www.chinahr.com
8001-10000,"
                    1.数据和计算机相关专业本科以上学历； 2.熟练使用建模工具，如SAS、SPSS、MATLAB或其他相关的数据挖掘、统计分析工具； 3.熟悉常用的数据挖掘算法； 4.具备一定开发能力，熟悉hive、pig、python任意一种大数据处理语言； 5.有数据分析和数据挖掘相关工作经验者优先； 6.对数据有较强的洞察力和敏感度，具备较强的学习和钻研能力，热爱数据挖掘工作；
                ",其他,商业保险,http://www.chinahr.com/job/5366462965222405.html?searchplace=400,政府/非赢利机构/其他 ,101－300人,上海天璨计算机科技有限公司,180.0,1,全职,经验1年,本科,12-8更新,0.22885799407958984,上海,数据挖掘工程师,www.chinahr.com
15000-30000,"
                    l 熟悉机器学习基本方法，有数据挖掘相关工作经验1-2年； l 对数据结构，算法等有较好基础； l 有推荐系统研发经验者优先； l 有自然语言处理背景优先； l 有hadoop、spark、storm等大数据处理工具平台使用经验者更佳。 
                ",其他,五险一金|绩效奖金|带薪年假|节日福利|员工旅游,http://www.chinahr.com/job/5367260849209602.html?searchplace=400,专业服务 ,101－300人,上海智骏商务咨询有限公司,180.0,1,全职,经验3年,本科,12-8更新,0.22346210479736328,上海,大数据/机器学习/数据挖掘方向工程师,www.chinahr.com
15000-30000,"
                    岗位职责要求：1，负责互联网用户行为数据挖掘，行为特征研究，以及数据营销2，负责数据分析和模型构建执行，能结合互联网业务方向和趋势，探索与研究有效的数据模型背景要求：1，熟悉主流的机器学习，数据挖掘基本算法和数据模型，有大量数据搜集，数据分析与推测的经验2，有数据处理，统计分析，数据建模，机器学习等相关算法应用经历3，对海量数据挖掘分析有浓厚兴趣，了解Hadoop技术4，精通HIve SQL
                ",民营/私企,年终奖|绩效奖金|五险一金|餐饮补贴,http://www.chinahr.com/job/5306927773974787.html?searchplace=400,投资/融资 ,500人以上,上海你我贷互联网金融信息服务有限公司-q2p,180.0,1,全职,经验3年,本科,11-24更新,0.20703387260437012,上海 浦东新区,数据挖掘工程师,www.chinahr.com
10001-15000,"
                    岗位职责： 1. 根据广告平台总体计划,负责平台数据部分的需求分析、设计以及相关领域的研发； 2. 参与研究和验证广告平台的研发技术方向和技术路线； 3. 具体负责构建数据分析与数据挖掘业务建模分析； 4. 跟踪并分析用户行为，为公司业务的发展及产品的设计进行支持。  任职要求： 1. 统计学、数学或计算机专业本科及以上，2年以上大数据相关工作经验； 2. 热爱数据，对数据及逻辑关系有感觉，非常敏感，并对数据体系有深入的认识； 3. 具备深厚数据建模和分析理论知识和经验； 4. 熟练掌握常用的数据分析挖掘算法和软件，对机器学习有深入的理解，有Ruby/Python经验者更佳； 5. 熟悉互联网，对于互联网常见的业务形态与实现方式有深入的理解，对业务变化有敏锐的洞察力； 6. 有较强的对业务理解与分析能力，了解业务规划与策划能力以及相应经验； 7. 具备强烈的进取心和良好的团队沟通、合作能力； 8. 有互联网广告平台、电子商务、互联网数据仓库或商业智能架构设计开发实施经验者优先； 9. 熟练使用Hadoop/Hive/MapReduce，有大规模并行计算环境下的海量数据处理经验者优先； 
                ",其他,五险一金|绩效奖金|带薪年假|弹性工作|员工旅游,http://www.chinahr.com/job/5367839234130437.html?searchplace=400,IT/互联网 ,101－300人,上海骏数信息技术有限公司,180.0,1,全职,经验3年,大专,12-8更新,0.22418713569641113,上海,数据挖掘工程师,www.chinahr.com
